id,school_inep_fk
1041,32059930
1048,21041938
1073,28002156
1074,28002156
1075,28002156
1076,28002156
1077,28002156
1078,28002156
1079,28002156
1080,28002156
1089,28014987
1091,21041806
1091,28014987
1091,28027299
1092,21041806
1092,28027299
1093,21041806
1093,28027299
1094,21041806
1094,28014987
1094,28027299
1094,32065752
1095,28014987
1095,32065752
1096,28014987
1096,32065752
1097,28014987
1097,32065752
1098,28014987
1099,28014987
1100,21041806
1100,28002172
1100,28014987
1100,28033418
1101,28014987
1101,28033418
1102,28001826
1102,28014987
1103,21042187
1103,28001826
1104,21042187
1104,28001826
1105,21042187
1105,28001826
1106,28001826
1107,28001826
1108,28001826
1109,28001982
1109,32060491
1110,28001982
1110,32060491
1111,28001761
1111,32060491
1112,28001761
1114,21042195
1115,21042195
1120,28001826
1120,32081103
1121,28016173
1121,32081103
1122,28016173
1122,32081103
1123,28001761
1123,28016173
1123,32081103
1124,28001761
1124,28016173
1127,28016173
1128,28015037
1128,28016173
1129,28015037
1129,32059930
1130,28015037
1132,32059930
1133,24026077
1133,32059930
1136,24026077
1137,21041873
1137,24026077
1138,21041873
1138,24026077
1139,21041873
1139,28001761
1140,21041873
1140,24025976
1140,28001761
1140,32059930
1141,21041873
1141,28001761
1141,28015070
1142,21041873
1142,24025976
1142,28001761
1142,28015177
1143,24025976
1143,28001761
1143,28014987
1144,28001761
1144,28014987
1145,24026077
1145,28001761
1145,28014987
1146,28014987
1146,28016211
1146,32059930
1147,28014987
1147,28016211
1147,32065752
1148,28016211
1149,28033418
1150,28027299
1151,28001761
1152,28001761
1153,28001761
1154,28001761
1155,28001761
1156,28001761
1157,28001761
1158,28001761
1161,24026069
1163,28027299
1164,28027299
1165,28027299
1166,28015134
1166,28027299
1167,28015134
1167,28027299
1168,28015134
1173,24026077
1174,24026077
1175,28016173
1176,24026077
1176,28016173
1187,28016173
1188,28016173
1190,28016173
1191,28016173
1192,28016173
1193,28015169
1193,28016173
1201,24025976
1201,28001702
1201,28015169
1202,24025976
1202,28001702
1202,28015169
1203,24025976
1203,28015169
1204,28001702
1204,28015169
1205,28001702
1205,28015169
1206,28001702
1206,28015169
1207,28001702
