id,school_inep_fk
839,28033418
839,32060688
840,21033080
840,28022173
840,28033418
840,28033582
840,28036964
840,32060688
841,28036964
842,28036964
843,28036964
844,28035453
845,28035453
846,28035453
847,28035453
848,28035453
849,28035453
850,28002024
851,21033013
851,28002024
851,28015169
851,28022211
851,32060530
852,21032076
852,28015169
852,28022211
853,28036972
854,28036972
855,28036972
856,28001761
857,28001761
857,28015037
857,28016211
858,28001761
859,28001761
859,28016211
860,28001761
860,28048407
861,28001761
862,28001761
863,28001761
863,28016173
863,28022165
864,28001761
865,28001761
868,28022190
868,32060777
873,28001761
874,28001761
875,28022190
876,21042063
876,28022190
877,28022190
877,32060483
878,28015169
878,28070402
879,28036972
880,28036972
881,28036972
882,28036972
883,28036972
884,28036972
885,28027299
885,32099410
886,28002024
886,28015223
886,32081111
887,28002024
887,28015223
887,28070402
887,32081111
888,28001982
889,28001982
890,28001982
891,28001982
892,28001982
893,28001982
894,28001982
895,28001982
896,28001761
897,28001761
900,28070402
902,28002024
902,28016173
903,28001842
904,28001842
905,28001842
906,28001842
907,28001842
908,28015266
908,28016173
908,28070402
909,28015304
909,28016173
910,28015304
910,28022386
910,28033418
911,28001842
911,28015304
911,28022386
911,28033418
912,28001842
912,28015304
912,28022254
912,28071425
913,28001842
914,28001842
915,28001842
916,28002024
916,28015134
916,28071425
916,32083327
917,28015134
917,28022211
917,28071425
917,32083327
918,28002024
919,28002024
919,28015134
919,28022041
919,28071425
920,28002024
920,28070402
920,28071425
922,28002172
922,28015304
922,28048407
922,28070402
923,28002172
923,28015304
923,28048407
923,32099010
924,28002172
924,28015304
924,28048407
924,32083319
925,28002172
925,28015304
925,32099010
926,28002172
926,28027299
926,32083319
927,21041938
927,28002172
927,28027299
928,28002172
928,28015266
928,28027299
928,32099010
929,28001826
930,28015266
931,28002024
931,28015266
931,28022122
931,28031199
932,28002024
932,28015266
932,28031199
933,28015150
933,28031199
933,28037740
934,28037740
935,28015185
935,28022211
935,28031199
935,32099010
936,21042330
936,28031199
936,28037740
937,28015185
937,28031199
937,32082576
938,28031199
938,28037740
939,28036964
940,21042330
940,28015126
940,28016220
941,28037740
942,28015126
942,28037740
943,28015126
943,28016220
943,28037740
943,32059930
944,28015126
944,28016220
945,28016220
945,32069332
946,28036395
947,28036395
948,28015207
948,28016220
948,32082576
949,28016220
950,28036395
951,28015282
952,28015150
953,28022246
953,28032233
960,28015231
960,28033418
960,32069731
961,21041652
961,28002172
961,28015215
961,28033418
961,32069731
964,28016173
966,28016173
966,32069731
967,21041733
968,21041733
968,28032233
969,21041733
969,28032233
969,32069731
970,21041733
970,28016173
970,32069731
971,21041733
971,28001702
972,21041733
972,28001702
973,21041733
973,28001702
974,21041555
974,28001702
975,21041555
975,28001702
976,28001702
977,28001702
978,21041555
978,28001702
979,21041555
979,28001702
980,28001702
991,28001702
992,21041970
992,28001702
1011,28001826
1012,28001826
1013,28001826
1014,28001826
1015,28001826
1016,21042276
1016,28001826
1017,21042276
1017,28001761
1018,28001761
1019,28001761
1020,28001761
1021,28001761
1022,21042276
1022,28001761
1023,21042276
1023,28001761
1024,21042276
1024,28001761
1025,28001761
1026,28001761
1027,28001761
1028,28001761
1031,28001761
1037,28001761
1038,28015070
1038,28016220
1039,28016220
1039,28026713
1040,28015100
1040,28016220
1041,21041938
1041,28015100
1042,28001982
1042,28015100
1042,32059930
1043,28001982
1043,28015100
1043,32082576
1044,28001982
1044,28015100
1044,32065752
1045,28001982
1045,28027558
1046,28001982
1047,28036395
1048,28036395
1049,28036395
1050,28036395
1051,28036395
1052,28036395
1053,28036395
1054,21042055
1054,28036395
1055,28036395
1056,21042055
1056,28036395
1057,28036395
1058,28036395
1059,28036395
1060,28036395
1061,28036395
1062,28036395
1063,21042055
1063,28002156
1063,28015169
1063,28033418
1064,28002156
1065,28002156
1066,28002156
1067,28002156
1068,28002156
1069,28002156
1070,28002156
1071,28002156
1072,28002156
1075,21041865
1075,28015169
1075,28033418
1077,28015266
1077,28033418
1081,28002156
1082,28002156
1083,28036395
1084,28036395
1085,28036395
1086,28036395
1087,28036395
1088,28001842
1090,28001842
1091,32065752
1092,28014987
1093,28014987
1093,32065752
1095,21041806
1096,28027299
1097,21041806
1098,21041806
1098,28027299
1098,32060491
1099,21041806
1099,28031199
1100,32060491
1101,21042187
1102,21042187
1102,28032233
1103,28014987
1103,28016203
1104,28014987
1104,28016203
1104,32060491
1105,28015134
1105,28016203
1105,32060491
1106,21042187
1106,28015134
1106,28016203
1106,32060491
1107,21042187
1107,28015223
1107,28016203
1107,32060491
1108,21042187
1108,28015223
1108,28016203
1108,32060491
1109,21042195
1109,28015223
1109,28016203
1110,21042195
1110,28015223
1110,28032233
1111,21042195
1111,28015223
1111,28016203
1112,21042195
1112,28015223
1112,28016173
1112,32060491
1113,21042195
1113,28015223
1113,28016173
1113,32081103
1114,28015223
1114,32081103
1115,28015223
1115,28016173
1115,32081103
1116,24085219
1116,28015223
1116,28016173
1117,24085219
1117,28015223
1118,28015223
1118,28016173
1118,32081103
1119,24070866
1119,28015215
1119,28016173
1119,32081103
1120,24070866
1120,28015215
1121,24070866
1121,28015215
1121,28036395
1122,28015037
1122,28036395
1124,24070866
1124,28015037
1124,32081103
1125,24026077
1125,28015037
1125,28037740
1126,24026077
1126,28015037
1126,32065752
1127,28015037
1127,28036972
1127,32065752
1128,21042330
1128,24026077
1128,28001761
1128,32059930
1129,28001761
1130,28001761
1130,28016173
1130,32065752
1131,24026077
1131,28001761
1131,28015037
1131,32065752
1132,24026077
1132,28001761
1132,28016173
1133,21041873
1133,28001761
1133,28015207
1133,28032233
1134,21041873
1134,28001761
1134,28015207
1134,28016173
1135,21041873
1135,24026077
1135,28001761
1135,28015207
1135,28032233
1136,21041873
1136,28001761
1136,28015304
1136,28016173
1137,28001761
1137,28015304
1137,28032233
1137,32065752
1138,28001761
1138,28015304
1138,28032233
1139,24026077
1139,28015304
1139,28016173
1139,32065752
1140,28015126
1140,28016173
1141,24025976
1141,28016173
1142,28016173
1143,21041873
1144,21041873
1144,24026069
1144,32059833
1145,21041873
1146,21041873
1146,24026042
1146,28001761
1147,21041873
1147,24085219
1147,28001761
1148,24072257
1148,28001761
1148,28015266
1149,28015266
1150,24072257
1150,28015266
1151,24072257
1151,28015266
1151,28016220
1151,32081987
1152,24026069
1152,28015266
1152,28016220
1153,24026069
1153,28015266
1154,24026069
1154,28015266
1155,24026069
1155,28015266
1156,24026069
1156,28015266
1157,24026069
1157,28015207
1157,32081120
1158,24026069
1158,28015207
1158,32081120
1159,24026069
1159,28015207
1159,28036964
1159,32081120
1160,24072257
1160,28015282
1160,28036964
1160,32081120
1161,28036964
1161,32059930
1162,24026042
1162,28015134
1162,28036964
1162,32079419
1163,24026069
1163,28015134
1163,28036964
1163,32079419
1164,24026069
1164,28036964
1164,32079419
1165,24026050
1165,28015134
1165,32079419
1166,24026050
1166,28036964
1166,32079419
1167,24026077
1167,28036395
1167,32082576
1168,24026077
1168,28036395
1169,24026077
1170,24026077
1170,28036395
1171,24026077
1171,28036395
1172,24026077
1172,28033582
1172,28036395
1173,28033582
1174,28033582
1174,28036395
1175,28033582
1175,28036395
1176,28033582
1176,28036395
1177,24026077
1177,28016203
1177,28033582
1177,28036395
1178,24085219
1178,28016173
1178,28036395
1179,24085219
1179,28016173
1179,28033582
1179,28036395
1180,24085219
1180,28016173
1180,28033582
1180,28036395
1181,24072257
1181,28016173
1181,28033582
1181,28036395
1182,24072257
1182,28016173
1182,28033582
1182,28036395
1183,24072257
1183,28016173
1183,28033582
1183,28036395
1184,24072257
1184,28033582
1184,28036395
1185,24026069
1185,28016173
1185,28033582
1185,28036395
1186,24026069
1186,28016173
1186,28033582
1186,28036395
1187,24026069
1187,28033582
1187,28036395
1188,24026069
1188,28033582
1188,28036395
1189,24026069
1189,28036395
1190,24026069
1190,28036395
1191,24026069
1191,28001702
1191,28015185
1192,28001702
1192,28015185
1193,24026069
1193,28001702
1194,24026069
1194,28001702
1194,28016173
1194,28027558
1195,24026069
1195,28001702
1195,28015169
1195,28016173
1196,24026050
1196,28001702
1196,28015169
1197,24026050
1197,28001702
1197,28015169
1197,28016220
1198,24026042
1198,28001702
1198,28015169
1198,28016220
1199,28001702
1199,28015169
1199,28016220
1200,24025976
1200,28001702
1200,28015169
1200,28016220
1202,28016220
1203,28016220
1204,24070866
1204,28016220
1205,24070866
1205,28016220
1206,24070866
1206,28016220
1207,24070866
1207,28015169
1207,28016220
1208,28015169
1208,28033418
1209,24025976
1209,28015126
1209,28033418
1210,24025976
1210,28033418
1211,24070866
1211,28001702
1211,28015126
1211,28033418
1212,28001702
1212,28015126
1212,28033418
1213,28001702
1213,28033418
1213,32099410
1214,28033418
1214,32099410
1215,28033418
1215,32099410
1216,28033418
1216,32099410
1217,28033418
1217,32099410
1218,28033418
1218,32099410
1219,28033418
1220,28033418
1220,32059833
1221,28033418
1221,32059833
1222,28033418
1222,28035453
1222,32059833
1223,28033418
1223,28035453
1223,32059833
1224,28033418
1224,28035453
1224,32059833
1225,28033418
1225,28035453
1225,32059833
1226,28033418
1226,28035453
1226,32059833
1227,28033418
1227,28035453
1227,32059833
1228,32059833
1229,32059833
1230,32059833
1231,32059833
1232,28016173
1232,32059833
1233,28015045
1233,28016173
1233,32059833
1234,28015045
1234,28027299
1235,28015304
1235,28027299
1236,28015304
1236,28027299
1237,28015223
1238,28015223
1239,28015223
1240,28015223
1241,28015223
1241,32059833
1242,28015223
1242,32059833
1243,28015223
1243,32059833
1244,28015223
1244,32059833
